# index, name, _pos
0,AC3.3,"array([23.01086627,  3.37279773])"
1,F29G6.3,"array([18.62409051,  2.86560306])"
2,R05F9.10,"array([29.06762948,  6.29960044])"
3,Y69H2.3,"array([18.42266653,  0.12721902])"
4,AC3.7,"array([11.09460005,  8.46041922])"
5,Y40B10A.2,"array([11.4715647 ,  6.36113959])"
6,B0001.4,"array([ 1.77817357, -9.1840636 ])"
7,F19B6.1,"array([ 1.59144005, -8.4855017 ])"
8,B0001.7,"array([34.94293524, 24.99542775])"
9,B0281.5,"array([34.26222196, 24.81018926])"
10,F37H8.1,"array([35.63075017, 25.23658296])"
11,B0024.10,"array([21.48437306, 30.33019298])"
12,C06A1.1,"array([20.9361805 , 31.00121782])"
13,B0024.12,"array([ 6.08507402, 21.31947008])"
14,C06E2.1,"array([ 5.79232948, 20.71491529])"
15,B0024.14,"array([18.42297885, -0.19905189])"
16,B0228.1,"array([18.10294866, -2.17052194])"
17,C05G6.1,"array([17.18241465, -0.77586827])"
18,DH11.4,"array([20.74879666,  1.68824828])"
19,F48G7.10,"array([17.74429237,  0.80966693])"
20,K08E7.5,"array([17.33215026,  0.52217948])"
21,T21D12.11,"array([17.62138098, -0.74559257])"
22,Y69H2.10,"array([17.54184889, -0.32573361])"
23,B0024.9,"array([  8.95849129, -13.98668641])"
24,F12F6.7,"array([  8.59477529, -14.56648421])"
25,B0034.1,"array([24.5814675 , -5.77824236])"
26,F17E9.5,"array([24.79008056, -3.28829867])"
27,F25D7.1,"array([23.85105791, -6.55319839])"
28,F45H10.4,"array([24.46971559, -6.62257708])"
29,Y23H5A.4,"array([23.9143957 , -7.08089668])"
30,Y38C1AA.7,"array([24.16825355, -6.26138342])"
31,B0034.3,"array([17.03552791, 10.13110268])"
32,T19C3.8,"array([17.38686039,  8.73905758])"
33,B0035.1,"array([24.67121678,  3.28200761])"
34,K09B11.9,"array([22.81133167,  3.06515162])"
35,R02F2.5,"array([25.09476009,  2.6676136 ])"
36,B0035.6,"array([11.26383984,  2.72450512])"
37,D2007.2,"array([9.89849094, 2.69010642])"
38,ZK1225.6,"array([13.26365017,  2.96374112])"
39,B0041.4,"array([11.72972996,  7.73618136])"
40,B0041.6,"array([18.8505641 , 10.73741724])"
41,CC4.3,"array([19.41560823,  9.1918515 ])"
42,B0205.3,"array([18.08387769,  0.32882747])"
43,ZK1053.5,"array([19.14772743,  1.17630413])"
44,B0205.7,"array([14.4158517 ,  5.35841204])"
45,T01G9.6,"array([16.31844274,  4.74312904])"
46,Y54E10A.3,"array([13.37431365,  5.94033294])"
47,B0205.8,"array([19.39778052,  4.10084777])"
48,W05H7.4,"array([20.75862105,  2.71646967])"
49,B0213.12,"array([41.47767748, 18.42137454])"
50,ZK899.3,"array([41.01192714, 17.92459212])"
51,B0213.2,"array([15.29731643,  7.05749171])"
52,F52H2.5,"array([17.35058865,  5.22505703])"
53,T19D7.2,"array([14.32064902,  8.29172912])"
54,Y75D11A.3,"array([14.11668429,  7.73841948])"
55,F20C5.6,"array([20.1669618 , -1.27901944])"
