# source, target
0,2728
1,701
1,1239
1,286
1,1740
1,2914
1,321
1,1673
1,2479
1,293
1,1304
1,904
1,638
1,183
1,71
1,33
1,714
1,3
1,3229
1,1905
1,1910
1,1907
1,3297
1,32
1,2370
1,2184
1,2454
1,34
1,46
1,2885
1,6
1,514
1,48
1,2637
1,2935
1,1718
1,3331
1,2091
1,180
1,218
1,111
1,717
1,2930
1,276
1,77
1,49
1,526
1,3285
1,1417
1,70
1,1923
1,122
1,312
1,557
1,1097
1,3303
1,613
1,864
1,2646
1,140
1,1236
1,648
1,2838
1,1558
1,2887
1,830
1,1457
1,447
1,3006
1,182
1,625
1,120
1,568
1,1733
1,1830
1,375
1,118
1,174
1,109
1,953
1,2933
1,2900
1,178
1,2946
1,2024
1,2714
1,2581
1,2153
1,476
1,2511
1,1491
1,1074
1,2878
1,282
1,414
1,150
1,1940
1,1420
1,440
1,575
1,2038
1,1166
1,757
1,317
1,90
1,1997
1,3213
1,157
1,493
1,767
1,2121
1,1878
1,442
1,1800
1,1803
1,1450
1,2336
1,2211
1,952
1,1217
1,1867
1,2579
1,1506
1,2625
1,1041
1,1779
1,958
1,2122
1,3113
1,273
1,2747
1,2227
1,2626
1,2839
1,917
1,1360
1,385
1,1353
1,582
1,2918
1,389
1,199
1,832
1,708
1,821
1,845
1,2970
1,1473
1,2320
1,2410
1,201
1,1704
1,970
1,1086
1,1053
1,1165
1,2111
1,1429
1,3167
1,1783
1,2279
1,1912
1,1913
1,891
1,979
1,2101
1,2164
1,1107
1,796
1,3295
1,1618
1,2145
1,492
1,272
1,587
1,892
1,2300
1,474
1,1276
1,994
1,2359
1,616
1,957
1,1440
1,1364
1,3288
1,1070
1,238
1,809
1,3000
1,1157
1,2360
1,951
1,2436
1,1807
1,1981
1,3195
1,1482
1,885
1,1927
1,2354
1,1372
1,1076
2,701
2,1740
4,2444
4,4
7,786
7,321
8,114
8,1465
9,2094
11,1423
11,2927
11,1531
12,1375
12,1516
12,843
12,2710
12,3055
12,98
13,668
13,2177
16,293
17,701
17,1323
18,42
18,145
19,2728
19,871
19,2732
19,1437
19,2709
19,2535
19,1494
19,2727
19,2606
20,581
20,2575
20,1404
20,3284
20,2912
22,668
22,2177
22,3070
22,2366
22,3099
25,1852
25,293
25,2821
26,1785
26,145
27,2548
27,145
29,145
31,226
31,293
33,701
33,2497
33,2914
34,743
35,2885
37,37
38,2812
38,1225
38,145
38,293
38,1224
39,2701
39,1428
39,3227
39,2061
39,2113
39,1633
39,2307
41,297
42,1724
42,42
43,293
43,1785
45,293
46,701
46,293
47,321
47,638
47,1898
47,3275
47,2798
48,48
48,2177
48,668
48,2102
50,180
50,293
52,321
52,453
52,1852
55,2315
55,145
56,2807
57,1128
57,57
57,321
57,531
59,59
59,429
59,1638
61,2812
61,2890
62,62
64,233
64,64
64,321
68,293
71,1290
71,701
71,786
71,535
71,1755
71,1270
71,3300
72,2705
73,685
73,753
74,2493
76,2472
76,76
77,2548
79,3189
79,82
80,701
80,97
81,701
81,1239
81,2676
81,452
81,2215
83,668
83,2177
84,321
85,321
87,780
88,1740
88,97
88,293
89,1889
90,701
90,1239
93,1239
93,2495
93,1079
93,321
93,2640
93,2698
94,989
94,390
94,1176
94,2059
94,141
94,2898
94,212
94,2014
94,1864
94,394
94,1892
94,269
96,233
97,97
97,321
97,2914
97,293
97,1862
97,3109
99,1760
101,2728
103,2812
103,145
103,293
103,2159
103,2363
104,104
105,321
106,2812
107,638
109,109
109,2548
109,701
110,110
111,145
114,701
114,321
114,293
114,302
114,42
114,907
114,278
114,297
114,1424
118,118
120,631
120,1160
121,321
123,321
123,2479
125,638
126,3108
126,126
127,226
127,127
127,297
129,420
129,129
129,1013
129,1056
131,701
131,1852
131,321
132,668
132,2177
132,1914
133,133
133,929
133,889
134,605
134,386
135,371
137,2543
137,1196
137,137
137,151
137,2550
137,2567
137,2558
137,2552
137,2555
140,701
142,147
144,701
145,237
145,293
145,2094
145,1465
145,2676
145,1201
145,217
145,3128
145,194
145,160
145,209
145,225
145,3112
145,1312
145,1030
145,1706
145,382
145,1231
145,2422
145,195
145,297
145,1224
145,1909
145,321
145,360
146,1862
148,875
150,150
151,1436
154,1650
155,155
157,1239
158,158
159,600
159,3112
160,2812
161,161
161,919
162,618
165,227
165,442
165,2189
165,819
166,355
166,1827
167,167
172,1827
174,1673
174,2529
174,701
174,1239
174,286
174,1740
174,2914
174,321
174,2479
174,293
174,1161
174,1290
174,2056
174,2439
174,2554
174,298
174,982
174,1932
174,2548
174,440
174,583
174,776
174,142
174,1997
174,550
174,668
174,1450
174,493
174,891
174,370
174,3050
174,474
174,644
174,5
174,745
174,381
174,2014
174,889
174,1041
174,297
174,1814
174,770
174,233
174,214
174,47
174,221
174,930
174,455
174,819
174,780
175,2966
175,668
177,177
177,321
177,251
177,2246
179,1115
179,2954
188,321
192,1911
192,192
192,840
192,1580
192,2810
192,2813
192,1735
193,2890
193,732
193,638
193,914
194,321
194,717
194,209
195,1227
195,1740
196,1740
197,756
197,1219
197,197
197,321
201,1663
204,2094
209,856
210,1239
215,215
216,216
217,2047
217,293
218,219
219,219
220,1861
220,220
221,741
221,756
221,1219
221,752
221,470
221,373
221,740
221,754
221,1702
221,1701
221,1211
221,1794
221,475
221,751
221,610
221,746
221,732
221,463
221,3015
221,879
221,755
221,747
221,467
221,469
221,372
221,1212
221,1230
221,627
221,1110
221,2741
221,618
221,243
223,396
223,1819
224,2603
224,2574
225,1995
225,225
225,1239
226,638
226,1740
226,2150
226,293
226,2442
226,1462
226,934
226,2824
226,2934
227,2352
233,2807
233,321
233,2479
233,2507
233,1243
233,743
233,162
233,1546
233,1172
233,465
233,1993
233,916
233,580
233,309
233,464
233,1497
233,2717
233,2456
233,2737
233,643
233,1091
233,1039
233,950
233,823
233,1912
233,216
233,2958
233,2444
233,287
234,266
236,402
236,782
237,321
237,266
237,2890
237,233
237,1907
237,2548
237,600
237,2041
237,382
237,683
237,463
237,1746
237,787
237,309
237,3125
237,888
237,1924
238,238
239,549
243,243
246,246
247,321
248,248
250,221
250,250
253,321
253,1941
253,477
258,2060
258,258
262,262
264,2432
264,2247
266,1225
266,1504
266,1924
267,2203
268,321
270,297
271,577
273,273
274,632
276,926
278,321
278,605
278,929
278,278
278,308
278,356
278,1792
279,871
284,1682
284,701
285,285
286,701
286,3333
286,568
286,1673
286,2890
286,233
286,328
286,321
286,835
286,2548
286,1473
286,1041
286,1740
286,517
286,286
286,2497
286,293
286,1901
286,702
