# index, as_id, _pos
0,3335,"array([4.30150188, 4.94612022])"
1,1,"array([3.1470596, 5.6144273])"
2,2,"array([3.06313948, 5.33934882])"
3,3,"array([3.04631328, 5.83664631])"
4,3336,"array([3.32493977, 5.13691685])"
5,7767,"array([3.18491124, 5.5633496 ])"
6,6,"array([3.14756284, 5.83793068])"
7,7,"array([3.41917827, 5.47777755])"
8,8,"array([2.95800883, 5.93928271])"
9,9,"array([2.76061659, 6.02383014])"
10,3338,"array([3.47164555, 4.47191007])"
11,3339,"array([3.99553642, 5.16527678])"
12,3340,"array([3.68065433, 5.10941279])"
13,13,"array([2.94064506, 5.80885734])"
14,8563,"array([3.38448964, 5.31420217])"
15,3342,"array([3.49038026, 5.05646718])"
16,16,"array([2.94970864, 5.38302576])"
17,17,"array([2.85493406, 5.44138213])"
18,18,"array([2.81277377, 5.84579746])"
19,3343,"array([3.89324257, 5.03298704])"
20,3344,"array([3.45600234, 5.13468415])"
21,7769,"array([3.04708598, 5.71775698])"
22,22,"array([2.76870491, 5.73817273])"
23,3346,"array([3.4345604 , 4.45106159])"
24,7770,"array([3.0651272 , 5.64402009])"
25,25,"array([2.82601049, 5.64029007])"
26,26,"array([2.65422865, 5.66838293])"
27,27,"array([2.9506773 , 5.44478857])"
28,10882,"array([3.3024088 , 5.92841846])"
29,29,"array([2.68462631, 5.7976498 ])"
30,7772,"array([3.17490691, 5.3025628 ])"
31,31,"array([3.10746525, 5.29782902])"
32,32,"array([3.04371601, 5.80553831])"
33,33,"array([3.27494009, 5.4897121 ])"
34,34,"array([3.31345746, 5.59802088])"
35,35,"array([3.1172596 , 6.11149272])"
36,3350,"array([3.3550572 , 5.14149121])"
37,10569,"array([3.74596858, 5.33659783])"
38,38,"array([2.87973633, 5.56943706])"
39,3352,"array([3.72338618, 5.16308384])"
40,3353,"array([3.6005358 , 5.24527376])"
41,41,"array([3.41643952, 5.37143045])"
42,3354,"array([2.99477601, 5.78470153])"
43,43,"array([2.83441481, 5.49710955])"
44,10240,"array([2.98335573, 5.38311983])"
45,45,"array([2.8863168, 5.4584821])"
46,46,"array([3.06709247, 5.44125678])"
47,3356,"array([3.16943265, 5.46181195])"
48,48,"array([3.17086394, 5.7005467 ])"
49,49,"array([3.06311293, 5.71350695])"
50,50,"array([3.23739072, 5.62447494])"
