# source, target
1,11
1,11
2,49
2,11
2,49
2,11
4,11
5,49
6,11
7,49
8,82
8,82
8,84
8,84
8,84
8,84
8,49
8,49
8,49
8,11
10,34
10,36
10,41
10,47
10,49
10,60
10,66
10,49
10,60
10,66
10,36
10,34
10,41
10,47
10,49
12,9
14,9
14,57
14,15
15,9
15,59
17,59
19,9
19,24
19,24
19,82
20,9
20,21
20,21
20,82
20,82
21,82
21,82
22,9
22,23
22,23
22,82
22,82
22,82
23,82
23,82
23,82
24,82
25,9
25,30
25,30
25,84
26,9
26,27
26,27
26,84
26,84
27,84
27,84
28,9
28,29
28,29
28,84
28,84
28,84
29,84
29,84
29,84
30,84
31,9
31,32
31,32
31,87
32,87
68,75
68,33
69,75
69,35
69,34
69,34
70,75
70,37
70,36
70,36
71,9
72,75
72,24
72,82
72,46
72,41
72,41
73,75
73,48
73,47
73,47
74,75
74,30
74,84
74,59
74,49
74,49
75,71
76,75
76,62
76,60
76,60
77,75
77,67
77,66
77,66
78,68
78,68
78,68
78,68
78,68
78,33
78,68
78,68
78,68
78,68
78,68
79,69
79,69
79,69
79,69
79,69
79,35
79,69
79,69
79,69
79,69
79,69
79,34
79,34
80,70
80,70
80,70
80,70
80,70
80,37
80,70
80,70
80,70
80,70
80,70
80,36
80,36
81,76
81,76
81,76
81,76
81,76
81,76
81,76
81,62
81,76
81,76
81,76
81,60
81,60
82,72
82,72
82,72
82,72
82,72
82,46
82,72
82,72
82,72
82,72
82,72
82,41
82,41
83,73
83,73
83,73
83,73
83,73
83,48
83,73
83,73
83,73
83,73
83,73
83,47
83,47
84,74
84,74
84,74
84,74
84,74
84,59
84,74
84,74
84,74
84,74
84,74
84,49
84,49
85,76
85,76
85,76
85,76
85,76
85,62
85,76
85,76
85,76
85,76
85,76
85,60
85,60
86,76
86,15
86,15
86,76
86,76
86,76
86,76
86,76
86,76
86,62
86,76
86,76
86,76
86,60
86,60
87,75
87,65
88,77
88,77
88,77
88,77
88,77
88,67
88,77
88,77
88,77
88,77
88,77
88,66
88,66
89,76
89,76
89,76
89,76
89,76
89,76
89,76
89,62
89,76
89,76
89,76
89,60
89,60
90,72
91,73
92,74
93,76
94,87
95,157
95,84
95,84
95,82
95,82
95,46
95,45
95,82
95,45
95,82
95,84
95,82
95,84
95,82
95,84
96,46
97,49
98,46
99,45
100,45
101,45
102,46
103,45
104,46
105,45
106,11
107,157
107,82
107,82
107,84
107,84
107,44
107,59
107,51
107,84
107,51
107,84
107,82
107,84
107,82
107,84
107,82
108,51
109,51
110,11
111,49
112,59
113,51
114,59
115,51
116,51
117,51
118,59
119,51
120,59
121,157
121,84
121,84
121,84
121,84
121,59
121,57
121,84
121,57
121,84
121,84
121,84
121,84
121,84
121,84
122,59
123,49
124,59
125,57
126,57
127,57
128,59
129,57
130,59
131,57
132,11
133,157
133,87
133,87
133,84
133,84
133,59
133,58
133,84
133,58
133,84
133,87
133,84
133,87
133,84
133,87
134,59
135,49
136,59
137,58
138,58
139,58
140,59
141,58
142,59
143,58
144,11
145,157
145,87
145,87
145,85
145,85
145,62
145,61
145,85
145,61
145,85
145,87
145,85
145,87
145,85
145,87
146,62
147,49
148,62
149,61
150,61
151,61
152,62
153,61
154,62
155,61
156,11
157,9
160,95
160,84
160,82
160,46
160,45
160,45
160,82
160,84
160,84
160,82
160,95
160,82
160,82
160,84
160,82
160,84
161,107
161,82
161,84
161,107
161,44
161,59
161,51
161,51
161,84
161,82
161,82
161,84
161,107
161,84
161,84
161,82
161,84
161,82
162,121
162,84
162,84
162,59
162,57
162,57
162,84
162,84
162,84
162,84
162,121
162,84
162,84
162,84
162,84
162,84
163,133
163,87
163,84
163,59
163,58
163,58
163,84
163,87
163,87
163,84
163,133
163,84
163,84
163,87
163,84
163,87
164,145
164,87
164,85
164,62
164,61
164,61
164,85
164,87
164,87
164,85
164,145
164,85
164,85
164,87
164,85
164,87
166,162
166,84
166,84
166,59
166,57
166,57
166,84
166,84
166,84
166,84
166,121
166,84
166,84
166,84
166,84
166,84
167,9
167,170
167,170
167,170
167,170
167,170
167,170
167,170
167,170
167,72
167,170
167,82
167,170
167,170
167,170
167,170
167,170
167,170
168,9
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,172
168,170
168,170
168,172
169,9
169,174
169,174
169,174
169,174
169,174
169,174
170,245
170,42
170,44
170,42
170,42
170,42
170,44
170,42
170,84
170,84
170,82
170,84
170,82
170,46
170,172
170,84
170,245
171,170
172,246
172,170
172,42
172,44
172,42
172,42
172,44
172,42
172,53
172,84
172,84
172,82
172,170
172,170
172,171
172,40
172,170
172,170
172,170
172,170
172,170
172,170
172,246
172,246
172,246
173,172
174,247
174,172
174,42
174,42
174,42
174,44
174,42
174,44
174,84
174,84
174,84
174,82
174,172
174,173
174,172
174,38
174,247
174,247
174,247
175,174
176,9
176,179
176,179
176,179
176,179
176,179
176,179
176,179
176,179
176,87
176,87
176,179
176,179
176,179
177,9
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,181
177,179
177,181
177,181
177,179
178,9
178,183
178,183
178,183
179,245
179,64
179,63
179,64
179,64
179,64
179,63
179,84
179,87
179,65
179,181
179,245
180,179
181,246
181,179
181,64
181,63
181,64
181,64
181,64
181,63
181,84
181,84
181,87
181,179
181,179
181,180
181,246
181,246
181,246
182,181
183,247
183,181
183,64
183,63
183,64
183,64
183,64
183,63
183,84
183,84
183,84
183,87
183,181
183,182
183,181
183,247
183,247
183,247
184,174
184,183
185,210
187,209
187,172
187,172
187,172
187,172
187,12
187,172
187,172
188,209
188,172
188,172
188,172
188,172
188,12
188,172
188,172
189,209
189,172
189,172
189,172
189,172
189,12
189,172
189,172
190,209
190,172
190,172
190,172
190,172
