# index, _pos
0,"array([-20.62917728,  23.22923077])"
1,"array([-3.32622676, 10.1903729 ])"
2,"array([-5.4884555 ,  9.27459445])"
3,"array([-30.15599687,  15.07019841])"
4,"array([-2.56458872, 11.47312332])"
5,"array([-5.84089384,  8.86149092])"
6,"array([-4.08207748, 11.15330016])"
7,"array([-6.61232686, 11.04607549])"
8,"array([-8.67988418,  6.51304634])"
9,"array([-9.71295912,  4.69650497])"
10,"array([-9.39236057,  9.80517116])"
11,"array([-3.98256977,  9.78551885])"
12,"array([-13.41798461,   3.07639597])"
13,"array([-10.67468084, -20.37626288])"
14,"array([-8.37311632,  3.71615448])"
15,"array([-10.04391111,   5.82977623])"
16,"array([ 6.43507718, 12.41936582])"
17,"array([-8.19578658, -0.80677365])"
18,"array([-13.21985757, -20.85836519])"
19,"array([-8.68253545,  5.48544235])"
20,"array([-8.61105455,  4.40614349])"
21,"array([-8.57937245,  4.85425833])"
22,"array([-8.99580403,  4.69355308])"
23,"array([-9.05072305,  5.16156561])"
24,"array([-8.89769694,  5.95605002])"
25,"array([-9.38397523,  6.27668694])"
26,"array([-9.3883702 ,  5.61903902])"
27,"array([-9.9347642 ,  6.25364135])"
28,"array([-10.03026847,   5.10055027])"
29,"array([-10.30230815,   5.4245197 ])"
30,"array([-9.65954007,  6.75523   ])"
31,"array([-10.26916414,   7.59716255])"
32,"array([-10.73319596,   8.48214822])"
33,"array([-8.09569447, 14.36844722])"
34,"array([-10.19094147,  11.31355993])"
35,"array([-11.05370616,  13.46311298])"
36,"array([-8.62588809, 11.37651914])"
37,"array([-7.36817111, 13.26288524])"
38,"array([-10.67566399,   4.44782118])"
39,"array([-27.40011869, -20.63656355])"
40,"array([-13.41721267,   3.78490806])"
41,"array([-10.40353116,   6.66314322])"
42,"array([-11.81744371,   2.57538898])"
43,"array([-8.11835171,  3.42349928])"
44,"array([-10.81541918,   2.25374886])"
45,"array([-6.99082903,  5.89445105])"
46,"array([-10.00108176,   4.3208865 ])"
47,"array([-9.80769293, 11.7956557 ])"
48,"array([-9.95701204, 14.22624773])"
49,"array([-7.71362976,  8.5751088 ])"
50,"array([ 0.07463427, 23.40364677])"
51,"array([-13.50839851,   7.68694162])"
52,"array([-4.89512543, -1.56312512])"
53,"array([-13.86375793,   4.52079922])"
54,"array([8.28568499, 4.40961942])"
55,"array([-6.179808  , -3.07626713])"
56,"array([-21.31869911, -23.40809565])"
57,"array([-7.61312108,  1.21631868])"
58,"array([-13.95271758,   6.47043943])"
59,"array([-8.99917117,  1.32657186])"
60,"array([-10.68996446,  10.13727297])"
61,"array([-13.26164496,  10.82318846])"
62,"array([-12.04584635,  10.98915676])"
63,"array([-11.80158969,   6.5700302 ])"
64,"array([-11.95466274,   6.34156145])"
65,"array([-12.62859406,   7.76369507])"
66,"array([-9.27903636, 11.45890502])"
67,"array([-9.14526444, 13.79353916])"
68,"array([-8.63668967, 12.79445258])"
69,"array([-10.60992527,  11.94359926])"
70,"array([-8.31689368, 11.94901661])"
71,"array([-9.44364728,  7.6855488 ])"
72,"array([-9.926774  ,  5.55658807])"
73,"array([-10.07519019,  12.68023132])"
74,"array([-9.69117512,  5.82224932])"
75,"array([-9.85197841,  9.62844769])"
76,"array([-11.22218898,  10.06271148])"
77,"array([-9.31936598, 12.18012356])"
78,"array([-8.38666345, 13.45785822])"
79,"array([-10.75484307,  12.42751327])"
80,"array([-7.9647007 , 12.37361777])"
81,"array([-11.50444763,  10.5605031 ])"
82,"array([-10.37846725,   4.26455495])"
83,"array([-10.01735384,  13.165527  ])"
84,"array([-10.91242288,   4.5307521 ])"
85,"array([-11.70250874,   9.74421405])"
86,"array([-10.88652172,   9.06350773])"
87,"array([-11.71340743,   7.28420424])"
88,"array([-9.25608135, 12.68845079])"
89,"array([-11.08707371,  10.69971201])"
90,"array([-8.4460757 ,  7.48260691])"
91,"array([-10.60611492,  14.54551567])"
92,"array([-8.83170155,  7.95733335])"
93,"array([-11.6647287 ,  11.76163695])"
94,"array([-12.77088457,   9.04498138])"
95,"array([-9.57141852,  5.13609328])"
96,"array([-8.28730733,  5.82302369])"
97,"array([-6.2588279, 10.0948581])"
98,"array([-7.89033811,  4.43791578])"
99,"array([-5.36934437,  6.26490253])"
100,"array([-4.87137549,  5.81221994])"
101,"array([-5.67308876,  6.88084573])"
102,"array([-8.15719857,  6.23597449])"
103,"array([-5.04129134,  6.97544855])"
104,"array([-12.98139455,   5.46722121])"
105,"array([-4.69095559,  6.43386022])"
106,"array([-3.79941894, 11.76304093])"
107,"array([-11.0823783 ,   4.91551699])"
108,"array([-14.23999165,   9.41753602])"
109,"array([-14.28798597,   8.78222885])"
110,"array([-3.15387516, 11.67728226])"
111,"array([-6.75202   ,  8.08222585])"
112,"array([-7.79492705, -0.32922385])"
113,"array([-14.12788279,   9.97799884])"
114,"array([-8.70388819, -0.53127935])"
115,"array([-15.47360422,   8.37374818])"
116,"array([-14.73714388,   8.33458456])"
117,"array([-15.73927234,   8.89200299])"
118,"array([-9.16905514, -0.84680999])"
119,"array([-15.07825219,   8.83879951])"
120,"array([-9.61309939, -0.98972333])"
121,"array([-9.8287545 ,  3.65239923])"
122,"array([-8.25197416, -0.22007747])"
123,"array([-7.03404703,  9.38348001])"
124,"array([-7.47252823, -0.69271129])"
125,"array([-5.5851899 ,  0.64737522])"
126,"array([-6.30014644, -0.56740005])"
127,"array([-6.29387455,  0.61121213])"
128,"array([-8.70187111, -1.08034773])"
129,"array([-5.98813659,  0.18144924])"
130,"array([-10.13436294,  -1.2501966 ])"
131,"array([-6.53662082, -0.04329203])"
132,"array([-2.8941698 ,  9.00180711])"
133,"array([-11.65502103,   5.37604433])"
134,"array([-9.29180264, -1.44387233])"
135,"array([-7.81235963, 10.36067827])"
136,"array([-7.66267111,  0.30105403])"
137,"array([-15.26192055,   7.66795361])"
138,"array([-16.36417528,   7.15516579])"
139,"array([-15.69126724,   7.18470109])"
140,"array([-9.78205373, -1.61803889])"
